time	x	y	v_x	v_y
563340.000000	-2483144291.525380	3912255302.392962	-4366.022885	6902.940050	19075961.708242
563400.000000	-2483406252.880466	3912669478.767605	-4366.022285	6902.939105	19075956.471621
563460.000000	-2483668214.199586	3913083655.085583	-4366.021686	6902.938161	19075951.236109
563520.000000	-2483930175.482749	3913497831.346910	-4366.021086	6902.937217	19075946.001706
563580.000000	-2484192136.729962	3913912007.551596	-4366.020487	6902.936273	19075940.768412
563640.000000	-2484454097.941232	3914326183.699653	-4366.019888	6902.935329	19075935.536226
563700.000000	-2484716059.116568	3914740359.791094	-4366.019290	6902.934386	19075930.305149
563760.000000	-2484978020.255976	3915154535.825931	-4366.018691	6902.933442	19075925.075179
563820.000000	-2485239981.359464	3915568711.804175	-4366.018092	6902.932499	19075919.846317
563880.000000	-2485501942.427041	3915982887.725839	-4366.017494	6902.931556	19075914.618561
563940.000000	-2485763903.458713	3916397063.590934	-4366.016895	6902.930614	19075909.391913
564000.000000	-2486025864.454488	3916811239.399473	-4366.016297	6902.929671	19075904.166371
564060.000000	-2486287825.414374	3917225415.151467	-4366.015699	6902.928729	19075898.941934
564120.000000	-2486549786.338378	3917639590.846929	-4366.015101	6902.927787	19075893.718604
564180.000000	-2486811747.226508	3918053766.485869	-4366.014503	6902.926845	19075888.496379
564240.000000	-2487073708.078772	3918467942.068301	-4366.013906	6902.925903	19075883.275258
564300.000000	-2487335668.895176	3918882117.594236	-4366.013308	6902.924962	19075878.055243
564360.000000	-2487597629.675730	3919296293.063686	-4366.012711	6902.924020	19075872.836331
564420.000000	-2487859590.420439	3919710468.476663	-4366.012113	6902.923079	19075867.618523
564480.000000	-2488121551.129313	3920124643.833178	-4366.011516	6902.922138	19075862.401819
564540.000000	-2488383511.802357	3920538819.133245	-4366.010919	6902.921197	19075857.186218
564600.000000	-2488645472.439581	3920952994.376874	-4366.010322	6902.920257	19075851.971720
564660.000000	-2488907433.040991	3921367169.564077	-4366.009725	6902.919317	19075846.758325
564720.000000	-2489169393.606596	3921781344.694867	-4366.009128	6902.918376	19075841.546031
564780.000000	-2489431354.136402	3922195519.769255	-4366.008532	6902.917437	19075836.334840
564840.000000	-2489693314.630417	3922609694.787254	-4366.007935	6902.916497	19075831.124750
564900.000000	-2489955275.088649	3923023869.748875	-4366.007339	6902.915557	19075825.915761
564960.000000	-2490217235.511105	3923438044.654130	-4366.006743	6902.914618	19075820.707872
565020.000000	-2490479195.897793	3923852219.503030	-4366.006147	6902.913679	19075815.501084
565080.000000	-2490741156.248721	3924266394.295589	-4366.005551	6902.912740	19075810.295396
565140.000000	-2491003116.563896	3924680569.031817	-4366.004955	6902.911801	19075805.090808
565200.000000	-2491265076.843325	3925094743.711726	-4366.004359	6902.910863	19075799.887319
565260.000000	-2491527037.087017	3925508918.335329	-4366.003764	6902.909924	19075794.684929
565320.000000	-2491788997.294978	3925923092.902638	-4366.003168	6902.908986	19075789.483638
565380.000000	-2492050957.467216	3926337267.413663	-4366.002573	6902.908048	19075784.283445
565440.000000	-2492312917.603739	3926751441.868417	-4366.001978	6902.907110	19075779.084350
565500.000000	-2492574877.704554	3927165616.266913	-4366.001383	6902.906173	19075773.886353
565560.000000	-2492836837.769669	3927579790.609160	-4366.000788	6902.905235	19075768.689453
565620.000000	-2493098797.799091	3927993964.895173	-4366.000193	6902.904298	19075763.493650
565680.000000	-2493360757.792829	3928408139.124961	-4365.999598	6902.903361	19075758.298943
565740.000000	-2493622717.750888	3928822313.298538	-4365.999004	6902.902425	19075753.105333
565800.000000	-2493884677.673277	3929236487.415915	-4365.998409	6902.901488	19075747.912818
565860.000000	-2494146637.560004	3929650661.477104	-4365.997815	6902.900552	19075742.721399
565920.000000	-2494408597.411076	3930064835.482116	-4365.997221	6902.899615	19075737.531075
565980.000000	-2494670557.226500	3930479009.430964	-4365.996627	6902.898679	19075732.341846
566040.000000	-2494932517.006284	3930893183.323659	-4365.996033	6902.897744	19075727.153712
566100.000000	-2495194476.750435	3931307357.160214	-4365.995439	6902.896808	19075721.966671
566160.000000	-2495456436.458962	3931721530.940640	-4365.994845	6902.895873	19075716.780725
566220.000000	-2495718396.131871	3932135704.664948	-4365.994252	6902.894938	19075711.595872
566280.000000	-2495980355.769170	3932549878.333150	-4365.993658	6902.894003	19075706.412112
566340.000000	-2496242315.370866	3932964051.945259	-4365.993065	6902.893068	19075701.229444
566400.000000	-2496504274.936968	3933378225.501286	-4365.992472	6902.892133	19075696.047869
566460.000000	-2496766234.467482	3933792399.001243	-4365.991879	6902.891199	19075690.867387
566520.000000	-2497028193.962416	3934206572.445142	-4365.991286	6902.890265	19075685.687995
566580.000000	-2497290153.421777	3934620745.832994	-4365.990693	6902.889331	19075680.509696
566640.000000	-2497552112.845573	3935034919.164812	-4365.990100	6902.888397	19075675.332487
566700.000000	-2497814072.233812	3935449092.440606	-4365.989508	6902.887463	19075670.156369
566760.000000	-2498076031.586501	3935863265.660390	-4365.988915	6902.886530	19075664.981341
566820.000000	-2498337990.903647	3936277438.824174	-4365.988323	6902.885596	19075659.807404
566880.000000	-2498599950.185258	3936691611.931971	-4365.987731	6902.884663	19075654.634556
566940.000000	-2498861909.431342	3937105784.983791	-4365.987139	6902.883731	19075649.462797
567000.000000	-2499123868.641905	3937519957.979648	-4365.986547	6902.882798	19075644.292127
567060.000000	-2499385827.816956	3937934130.919552	-4365.985955	6902.881866	19075639.122546
567120.000000	-2499647786.956501	3938348303.803516	-4365.985363	6902.880933	19075633.954053
567180.000000	-2499909746.060549	3938762476.631551	-4365.984772	6902.880001	19075628.786648
567240.000000	-2500171705.129107	3939176649.403668	-4365.984180	6902.879069	19075623.620330
567300.000000	-2500433664.162181	3939590822.119881	-4365.983589	6902.878138	19075618.455100
567360.000000	-2500695623.159781	3940004994.780200	-4365.982998	6902.877206	19075613.290957
567420.000000	-2500957582.121913	3940419167.384636	-4365.982407	6902.876275	19075608.127900
567480.000000	-2501219541.048584	3940833339.933203	-4365.981816	6902.875344	19075602.965930
567540.000000	-2501481499.939802	3941247512.425911	-4365.981225	6902.874413	19075597.805045
567600.000000	-2501743458.795574	3941661684.862773	-4365.980634	6902.873482	19075592.645246
567660.000000	-2502005417.615909	3942075857.243800	-4365.980044	6902.872552	19075587.486532
567720.000000	-2502267376.400813	3942490029.569003	-4365.979453	6902.871622	19075582.328903
567780.000000	-2502529335.150293	3942904201.838395	-4365.978863	6902.870691	19075577.172358
567840.000000	-2502791293.864358	3943318374.051987	-4365.978273	6902.869762	19075572.016898
567900.000000	-2503053252.543016	3943732546.209791	-4365.977683	6902.868832	19075566.862521
567960.000000	-2503315211.186272	3944146718.311819	-4365.977093	6902.867902	19075561.709228
568020.000000	-2503577169.794134	3944560890.358081	-4365.976503	6902.866973	19075556.557018
568080.000000	-2503839128.366611	3944975062.348591	-4365.975913	6902.866044	19075551.405891
568140.000000	-2504101086.903709	3945389234.283359	-4365.975324	6902.865115	19075546.255846
568200.000000	-2504363045.405436	3945803406.162397	-4365.974734	6902.864186	19075541.106883
568260.000000	-2504625003.871799	3946217577.985718	-4365.974145	6902.863258	19075535.959002
568320.000000	-2504886962.302806	3946631749.753332	-4365.973556	6902.862329	19075530.812203
568380.000000	-2505148920.698464	3947045921.465251	-4365.972966	6902.861401	19075525.666484
568440.000000	-2505410879.058781	3947460093.121488	-4365.972377	6902.860473	19075520.521847
568500.000000	-2505672837.383763	3947874264.722053	-4365.971789	6902.859546	19075515.378290
568560.000000	-2505934795.673420	3948288436.266958	-4365.971200	6902.858618	19075510.235812
568620.000000	-2506196753.927756	3948702607.756216	-4365.970611	6902.857691	19075505.094415
568680.000000	-2506458712.146781	3949116779.189837	-4365.970023	6902.856763	19075499.954097
568740.000000	-2506720670.330503	3949530950.567833	-4365.969435	6902.855836	19075494.814858
568800.000000	-2506982628.478927	3949945121.890216	-4365.968846	6902.854910	19075489.676697
568860.000000	-2507244586.592061	3950359293.156998	-4365.968258	6902.853983	19075484.539615
568920.000000	-2507506544.669913	3950773464.368190	-4365.967670	6902.853057	19075479.403611
568980.000000	-2507768502.712491	3951187635.523804	-4365.967082	6902.852130	19075474.268685
569040.000000	-2508030460.719801	3951601806.623852	-4365.966495	6902.851204	19075469.134836
569100.000000	-2508292418.691852	3952015977.668345	-4365.965907	6902.850279	19075464.002064
569160.000000	-2508554376.628649	3952430148.657294	-4365.965320	6902.849353	19075458.870369
569220.000000	-2508816334.530202	3952844319.590712	-4365.964732	6902.848428	19075453.739750
569280.000000	-2509078292.396517	3953258490.468609	-4365.964145	6902.847502	19075448.610207
569340.000000	-2509340250.227601	3953672661.290999	-4365.963558	6902.846577	19075443.481739
569400.000000	-2509602208.023462	3954086832.057892	-4365.962971	6902.845652	19075438.354347
569460.000000	-2509864165.784108	3954501002.769300	-4365.962384	6902.844728	19075433.228030
569520.000000	-2510126123.509546	3954915173.425233	-4365.961797	6902.843803	19075428.102788
569580.000000	-2510388081.199782	3955329344.025705	-4365.961211	6902.842879	19075422.978619
569640.000000	-2510650038.854826	3955743514.570727	-4365.960624	6902.841955	19075417.855525
569700.000000	-2510911996.474682	3956157685.060310	-4365.960038	6902.841031	19075412.733505
569760.000000	-2511173954.059361	3956571855.494466	-4365.959452	6902.840107	19075407.612557
569820.000000	-2511435911.608867	3956986025.873206	-4365.958865	6902.839184	19075402.492683
569880.000000	-2511697869.123210	3957400196.196542	-4365.958279	6902.838261	19075397.373881
569940.000000	-2511959826.602396	3957814366.464486	-4365.957694	6902.837338	19075392.256152
570000.000000	-2512221784.046433	3958228536.677049	-4365.957108	6902.836415	19075387.139494
570060.000000	-2512483741.455328	3958642706.834243	-4365.956522	6902.835492	19075382.023908
570120.000000	-2512745698.829088	3959056876.936079	-4365.955937	6902.834569	19075376.909394
570180.000000	-2513007656.167721	3959471046.982568	-4365.955351	6902.833647	19075371.795950
